language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=3.12 s (577.6 files/s 139666.9 lines/s)"
SVG,./BlogEngine/BlogEngine.NET/fonts/fontawesome-webfont.svg,0,0,640
C#,./BlogEngine/BlogEngine.Core/Services/Syndication/SyndicationGenerator.cs,145,394,639
C#,./BlogEngine/BlogEngine.NET/Custom/Controls/CommentList.ascx.cs,133,225,623
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.da.resx,11,48,616
JavaScript,./BlogEngine/BlogEngine.NET/Scripts/jquery-2.1.4.intellisense.js,8,2048,614
SQL,./BlogEngine/BlogEngine.NET/setup/SQLServer/Archive/MSSQLSetup2.0.0.0.sql,21,24,605
C#,./BlogEngine/BlogEngine.Core/BlogSettings.cs,327,522,584
CSS,./BlogEngine/BlogEngine.NET/Content/bootstrap-theme.css,0,6,581
JavaScript,./BlogEngine/BlogEngine.NET/Scripts/mediaelement/mediaelement.js,116,133,565
SQL,./BlogEngine/BlogEngine.NET/setup/SQLServer/Archive/MSSQLSetup1.6.0.0.sql,19,24,565
C#,./BlogEngine/BlogEngine.Core/API/MetaWeblog/MetaWeblogHandler.cs,107,302,553
C#,./BlogEngine/BlogEngine.Core/Providers/DbProvider/DbMembershipProvider.cs,99,214,530
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.pt-BR.resx,11,48,524
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.nl-be.resx,11,48,523
SQL,./BlogEngine/BlogEngine.NET/setup/SQLServer/Archive/MSSQLSetup1.5.0.0.sql,17,24,523
SQL,./BlogEngine/BlogEngine.NET/setup/SQLServer/Archive/MSSQLSetup1.4.5.0.sql,17,24,522
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.ar.resx,11,48,521
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.bg.resx,11,48,519
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.af.resx,11,48,518
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.fi.resx,11,48,518
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.hu.resx,11,48,518
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.is.resx,11,48,518
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.mk.resx,11,48,518
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.no.resx,11,48,518
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.sl.resx,11,48,518
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.sq.resx,11,48,518
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.sv.resx,11,48,518
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.th.resx,11,48,518
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.uk.resx,11,48,518
XML,./BlogEngine/BlogEngine.NET/App_GlobalResources/labels.sk.resx,11,48,517
C#,./BlogEngine/BlogEngine.Core/Providers/XmlProvider/XmlMembershipProvider.cs,99,293,516
SQL,./BlogEngine/BlogEngine.NET/setup/MySQL/Archive/MySQLSetup2.6.0.sql,42,1,513
SQL,./BlogEngine/BlogEngine.NET/setup/MySQL/Archive/MySQLSetup2.7.0.sql,42,1,513
