FullName,FilePathString,NbLines,NbTypesUsingMe,NbTypesUsed
BlogEngine.Core.Web.BlogCulture+ResourceType,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\BlogCulture.cs,902,2,5
Joel.Net.AkismetComment,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Extensions\AkismetFilter.cs,606,2,5
BlogEngine.Core.FileSystem.FileType,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\FileSystem\Common.cs,77,3,5
BlogEngine.Core.Data.Models.BlogItem,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\BlogItem.cs,28,3,5
BlogEngine.Core.Data.Models.TrashType,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Enums.cs,71,3,5
BlogEngine.Core.Data.Contracts.ICustomFieldRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\ICustomFieldRepository.cs,53,3,5
BlogEngine.Core.Data.Contracts.IUsersRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\IUsersRepository.cs,51,3,5
BlogEngine.Core.Data.Contracts.IPackageRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\IPackageRepository.cs,46,3,5
BlogEngine.Core.Data.Contracts.ITagRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\ITagRepository.cs,34,3,5
BlogEngine.Core.ServingContentBy,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Helpers\ServingEventArgs.cs,159,4,5
BlogEngine.Core.AuthorizationCheck,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Security\Security.cs,518,6,5
BlogEngine.Core.Packaging.InstalledPackage,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Packaging\InstalledPackage.cs,18,6,5
BlogEngine.Core.BlogSettings+CommentsBy,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\BlogSettings.cs,1433,7,5
BlogEngine.Core.ServingLocation,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Helpers\ServingEventArgs.cs,159,11,5
BlogEngine.Core.DataStore.ExtensionType,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\DataStore\Interfaces.cs,66,11,5
