file,class,lines,used_count,using_me_count
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Stats.cs,BlogEngine.Core.Data.Models.Stats,22,0,3
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\ViewModels\WidgetsVM.cs,BlogEngine.Core.Data.ViewModels.WidgetItem,10,0,3
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Packaging\GalleryData.cs,PackageExtra+PackageType,,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Security\Rights.cs,BlogEngine.Core.RightCategory,,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Service References\GalleryServer\Reference.cs,BlogEngine.Core.GalleryServer.PublishedScreenshot,20,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\BlogCulture.cs,BlogEngine.Core.Web.BlogCulture+ResourceType,,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Providers\FileSystemProviders\BlogFileSystemProviderSection.cs,BlogEngine.Core.Providers.BlogFileSystemProviderSection,3,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\Design\ServerVariableExpressionEditor.cs,BlogEngine.Core.Compilation.Design.ServerVariableExpressionEditor+ServerVariableExpressionEditorSheet+ServerVariableTypeConverter,10,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MetaWeblogException.cs,BlogEngine.Core.API.MetaWeblog.MetaWeblogException,4,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MWAAuthor.cs,BlogEngine.Core.API.MetaWeblog.MWAAuthor,0,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MWABlogInfo.cs,BlogEngine.Core.API.MetaWeblog.MWABlogInfo,0,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MWACategory.cs,BlogEngine.Core.API.MetaWeblog.MWACategory,0,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MWAFault.cs,BlogEngine.Core.API.MetaWeblog.MWAFault,0,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MWAMediaInfo.cs,BlogEngine.Core.API.MetaWeblog.MWAMediaInfo,0,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MWAMediaObject.cs,BlogEngine.Core.API.MetaWeblog.MWAMediaObject,0,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Syndication\BlogML\BaseReader.cs,BlogEngine.Core.API.BlogML.BaseReader,15,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\CustomFilter.cs,BlogEngine.Core.Data.Models.CustomFilter,22,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Security.cs,BlogEngine.Core.Data.Models.Permission,6,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Extensions\Recaptcha\RecaptchaLogItem.cs,Recaptcha.RecaptchaLogItem,22,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Extensions\Recaptcha\RecaptchaResponse.cs,Recaptcha.RecaptchaResponse,19,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Extensions\AkismetFilter.cs,Joel.Net.AkismetComment,20,0,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Helpers\Pager.cs,BlogEngine.Core.Pager,54,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Security\CustomIdentity.cs,BlogEngine.Core.CustomIdentity,15,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Security\CustomPrincipal.cs,BlogEngine.Core.CustomPrincipal,6,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\BlogSettings.cs,BlogEngine.Core.BlogSettings+Moderation,,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Role.cs,BlogEngine.Core.Role,12,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\DataStore\SerializableStringDictionary.cs,BlogEngine.Core.DataStore.SerializableStringDictionary,22,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Packaging\Pager.cs,BlogEngine.Core.Packaging.PagerItem,9,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\FileSystem\Image.cs,BlogEngine.Core.FileSystem.Image+ModificationType,,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\ManagedExtension.cs,BlogEngine.Core.Web.Extensions.GenericHelper<T>,5,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Scripting\JavascriptMinifier.cs,BlogEngine.Core.Web.Scripting.VariableMinification,,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\HttpHandlers\Apml.cs,BlogEngine.Core.Web.HttpHandlers.Apml+Concept,10,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Controls\ExtensionAttribute.cs,BlogEngine.Core.Web.Controls.SortedExtension,13,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Controls\RelatedPostsBase.cs,BlogEngine.Core.Web.Controls.RelatedPost,6,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Api\PingServicesController.cs,PingItem,4,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Api\TagsController.cs,TagToUpdate,4,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\PersianCulture.cs,PersianCulture,30,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Extensions\MediaElementPlayer.cs,MediaElementPlayer+ShortCode,14,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Controls\MonthList.cs,App_Code.Controls.MonthList+MonthListDisplayOptions,,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Controls\MonthList.cs,App_Code.Controls.MonthList+DateComparer_Asc,1,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Controls\MonthList.cs,App_Code.Controls.MonthList+DateComparer_Desc,1,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Widgets\LinkList\LinkList.cs,BlogEngine.NET.Custom.Widgets.LinkItem,8,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Widgets\MonthList\MonthList.cs,BlogEngine.NET.Custom.Widgets.MonthList+DateComparer_Desc,1,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Widgets\MonthList\MonthList.cs,BlogEngine.NET.Custom.Widgets.MonthList+IntComparer_Desc,1,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Widgets\MonthList\MonthList.cs,BlogEngine.NET.Custom.Widgets.MonthItem,6,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Api\UnauthorizedAccessExceptionFilterAttribute.cs,BlogEngine.NET.AppCode.Api.UnauthorizedAccessExceptionFilterAttribute,2,0,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Packaging\Constants.cs,BlogEngine.Core.Packaging.Constants,0,0,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\CodeExpressionBuilder.cs,BlogEngine.Core.Compilation.CodeExpressionBuilder,1,0,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\LinqLengthExpressionBuilder.cs,BlogEngine.Core.Compilation.LinqLengthExpressionBuilder,18,0,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\ReflectExpressionBuilder.cs,BlogEngine.Core.Compilation.ReflectExpressionBuilder,37,0,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\Design\CodeExpressionEditor.cs,BlogEngine.Core.Compilation.Design.CodeExpressionEditor,1,0,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\Design\QueryStringExpressionEditor.cs,BlogEngine.Core.Compilation.Design.QueryStringExpressionEditor,1,0,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\Design\SessionExpressionEditor.cs,BlogEngine.Core.Compilation.Design.SessionExpressionEditor,1,0,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MWAUserInfo.cs,BlogEngine.Core.API.MetaWeblog.MWAUserInfo,0,0,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Enums.cs,BlogEngine.Core.Data.Models.PostType,,0,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Enums.cs,BlogEngine.Core.Data.Models.CommentType,,0,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\JsonResponse.cs,BlogEngine.Core.Data.Models.JsonResponse<T>,6,0,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Api\FileSystemDataStreamProvider.cs,FileSystemDataStreamProvider,9,0,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Api\ToolsController.cs,ToolsController,49,0,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Controls\MobileThemeSwitch.cs,App_Code.Controls.MobileThemeSwitch,2,0,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Account\change-password-success.aspx.cs,Account.ChangePasswordSuccess,0,0,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Security\Rights.cs,BlogEngine.Core.Rights,,1,41
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\BlogConfig.cs,BlogEngine.Core.BlogConfig,29,1,38
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\CustomField.cs,BlogEngine.Core.Data.Models.CustomField,13,1,12
